programme,title,ministry,description,total_project_cost,total_foreign_funding,total_government_funding,start_date,end_date,foreign_actual_pre_2024,foreign_actual_2024,foreign_actual_2025,foreing_actual_2026,foreign_donor,region,gov_actual_pre_2024,gov_actual_2024,gov_actual_2025,gov_actual_2026,budget_2026
312 - public works,highway improvement east coast demerara,ministry of public works,"the project includes provision for:
1. construction of 4-lane road - railway embankment sheriff street to orange nassau.
2. upgrading of 2-lane road - east coast demerara highway - belfield to orange nassau.
3. upgrading of 4-lane road from orange nassau - mahaica bridge.
4. construction of bridge - hope canal.
5. feasibility studies and designs.",0,40386975000,0,01-Jan-22,31-Dec-27,11440301000,10000000000,16638624000,1730000000,china,4 demerara/mahaica,0,0,0,0,0
312 - public works,rehabilitation of public and main access roads,ministry of public works,"the project includes:
1. payment of retention.
2. provision for west bank, de hoop, black bush polder, la bonne intention and georgetown main public roads.",129972617000,0,129972617000,01-Jan-22,31-Dec-26,0,0,0,0,nil,2 - 6 national,42970000000,34002617000,30000000000,23000000000,23000000000
312 - public works,hinterland roads,ministry of public works,"the project includes:
1. payment of retention.
2. completion, construction and rehabilitation of hinterland roads in regions 1, 7, 8, 9 and 10.",24218416000,0,24218416000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,14218416000,10000000000,10000000000
312 - public works,linden - mabura road and kurupukari bridge,ministry of public works,"the project entails:
1. construction of linden to mabura road.
2. capacity building, education programme and community awareness.",39052010000,37171472000,1880538000,01-Jan-17,31-Dec-27,78087000,7217298000,8123891000,10000000000,ukcif/cdb,10 upper demerara/upper berbice,30538000,500000000,850000000,400000000,10400000000
312 - public works,farm access roads,ministry of public works,"the project includes provision for: 
1. parika - goshen - makouria link.
2. timehri - sand hill - makouria - bartica link.
3. moleson creek - el dorado.",10900000000,0,10900000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,4400000000,6500000000,6500000000
312 - public works,linden - soesdyke highway,ministry of public works,the project entails provision for reconstruction of linden - soesdyke highway and related structures.,41892477000,41700000000,192477000,01-Jan-22,31-Dec-27,55913000,6344602000,8701376000,13000000000,isdb,4 & 10 demerara/mahaica & upper  demerara/upper berbice,99977000,0,30000000,62500000,13062500000
312 - public works,transport infrastructure programme,ministry of public works,"the project entails:
1. reconstruction of highway from good success to timehri.
2. rehabilitation of 4-lane road from providence to diamond.",24370000000,20800000000,3570000000,01-Jan-22,31-Dec-27,833507000,121325000,3500000000,8200000000,idb,4 demerara/mahaica,2100000000,100000000,450000000,200000000,8400000000
312 - public works,new amsterdam - moleson creek highway,ministry of public works,the project entails provision for palmyra to moleson creek road.,116314183000,77386860000,6874885000,01-Jan-25,31-Dec-29,0,0,0,9000000000,sweden,6 east berbice/corentyne,0,0,4830200000,600000000,15100000000
312 - public works,new amsterdam - moleson creek highway,ministry of public works,the project entails provision for palmyra to moleson creek road.,0,32052438000,0,01-Jan-25,31-Dec-29,0,0,0,5500000000,other,6 east berbice/corentyne,0,0,0,0,0
312 - public works,integrated transport corridor,ministry of public works,the project entails provision for upgrading of road - mahaica to rosignol.,32651000000,32526000000,125000000,01-Jan-25,31-Dec-31,0,0,0,6000000000,ida,4 & 5 demerara/mahaica &  mahaica/berbice,0,0,50000000,75000000,6075000000
312 - public works,mabura - lethem corridor,ministry of public works,the project entails provision for mabura to kurupukari road and crossing.,56295000000,53480250000,2814750000,01-Jan-26,31-Dec-29,0,0,0,5336000000,other,"8, 9 & 10 national",0,0,0,2235000000,7571000000
312 - public works,sea and river defence works,ministry of public works,"the project includes:
1. payment of retention.
2. completion, construction and rehabilitation of sea and river defence in critical areas in regions 2 - 6.",19463383000,0,19463383000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 - 6 national,0,0,10463383000,9000000000,9000000000
312 - public works,water front development,ministry of public works,the project entails provision for waterfront development works.,3668219000,0,3668219000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,795000000,1000000000,1873219000,1873219000
312 - public works,stellings,ministry of public works,the project includes provision for parika and supenaam stellings.,5341712000,0,5341712000,01-Jan-25,31-Dec-27,0,0,0,0,nil,2 & 3 pomeroon/supenaam &  essequibo islands/west demerara,0,0,1787000000,2704712000,2704712000
312 - public works,equipment,ministry of public works,the project entails provision for equipment.,300000000,0,300000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,300000000,300000000
312 - public works,guyana restoration project,ministry of public works,the project entails provision for community organised for restoring the environment (core) project.,234000000,0,234000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,234000000,234000000
312 - public works,reconditioning of ferry vessels,ministry of public works,the project entails provision for vessels and spares.,570000000,0,570000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 3 & 7 national,0,0,0,570000000,570000000
313 - transport,central transport planning,ministry of public works,the project entails provision for consultancy services.,70000000,0,70000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,70000000,70000000
341 - policy development and administration,furniture and equipment,ministry of public utilities and aviation,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
342 - electricity services,lethem power company,ministry of public utilities and aviation,"the project includes:
1. upgrading of distribution networks in kumu, moco moco and st. ignatius. 
2. provision for equipment.",185000000,0,185000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,185000000,185000000
342 - electricity services,hinterland electrification,ministry of public utilities and aviation,the project entails upgrading of electrical systems in hinterland areas.,500000000,0,500000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,"1, 8 & 10 national",0,0,0,500000000,500000000
342 - electricity services,energy matrix diversification programme,ministry of public utilities and aviation,"the project entails:
1. installation of mini-grid systems in bartica, mahdia and lethem.
2. upgrading of sophia substation.
3. rehabilitation of transmission lines. 
4. institutional strengthening and capacity building.",5678600000,4443600000,1235000000,01-Jan-19,31-Dec-27,168250000,283727000,158486000,1700000000,idb,1 - 10 national,0,0,335000000,300000000,2000000000
342 - electricity services,electricity expansion programme,ministry of public utilities and aviation,"the project includes provision for sub-stations, smart grid, transmission and distribution lines and equipment.",232110296000,104250000000,127860296000,01-Jan-26,31-Dec-29,0,0,0,15637500000,other,1 - 10 national,0,0,0,50542100000,66179600000
343 - water services,water supply improvement project,ministry of public utilities and aviation,"the project includes:
1. construction of water treatment plants in adventure, bath, leguan, maria's delight and wakenaam.
2. provision for water treatment plant conveyance at diamond/grove, transmission mains, non-revenue water action plan and smart meters.
3. provision for studies and institutional strengthening.",29585878000,15897917000,2637461000,01-Jan-18,31-Dec-29,223950000,0,892268000,5000000000,cdb,1 - 10 national,0,1149291000,1000000000,488170000,10043170000
343 - water services,water supply improvement project,ministry of public utilities and aviation,"the project includes:
1. construction of water treatment plants in adventure, bath, leguan, maria's delight and wakenaam.
2. provision for water treatment plant conveyance at diamond/grove, transmission mains, non-revenue water action plan and smart meters.
3. provision for studies and institutional strengthening.",0,3475695000,0,01-Jan-18,31-Dec-29,0,0,18671000,1405000000,idb,1 - 10 national,0,0,0,0,0
343 - water services,water supply improvement project,ministry of public utilities and aviation,"the project includes:
1. construction of water treatment plants in adventure, bath, leguan, maria's delight and wakenaam.
2. provision for water treatment plant conveyance at diamond/grove, transmission mains, non-revenue water action plan and smart meters.
3. provision for studies and institutional strengthening.",0,7574805000,0,01-Jan-18,31-Dec-29,0,0,0,3150000000,jica,1 - 10 national,0,0,0,0,0
343 - water services,hinterland water supply,ministry of public utilities and aviation,the project entails provision for wells and water supply systems.,1500000000,0,1500000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,1500000000,1500000000
343 - water services,coastal water supply,ministry of public utilities and aviation,"the project includes:
1. payment of retention.
2. provision for water treatment plants and wells.
3. upgrading of transmission and distribution networks.
4. procurement of equipment, water meters and boxes.",16000000000,0,16000000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,10000000000,6000000000,6000000000
343 - water services,urban sewerage and water,ministry of public utilities and aviation,the project includes provision for sewer and water supply systems.,5180000000,0,5180000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,3000000000,2180000000,2180000000
344 - aviation,hinterland/coastal airstrips,ministry of public utilities and aviation,the project includes provision for airstrips.,8500000000,0,8500000000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,2000000000,2500000000,4000000000,4000000000
344 - aviation,cjia corporation,ministry of public utilities and aviation,the project includes provision for terminal and upgrading of facilities.,13650472000,12007013000,1643459000,01-Jan-25,31-Dec-28,0,0,0,3150000000,uk,4 demerara/mahaica,0,0,1137873000,505586000,3655586000
344 - aviation,civil aviation authority,ministry of public utilities and aviation,the project includes provision for control tower and building.,900000000,0,900000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,900000000,900000000
345 - maritime administration,dredging,ministry of public utilities and aviation,the project includes provision for dredging.,6255000000,0,6255000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,6255000000,6255000000
345 - maritime administration,navigational aids,ministry of public utilities and aviation,the project includes provision for navigation aids.,220000000,0,220000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,220000000,220000000
381 - policy development and administration,buildings,ministry of labour and manpower planning,the project entails payment of retention.,3648000,0,3648000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,3465000,183000,183000
381 - policy development and administration,furniture and equipment,ministry of labour and manpower planning,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
382 - labour administration services,buildings,ministry of labour and manpower planning,the project entails provision for building.,20648000,0,20648000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,12475000,8173000,8173000
382 - labour administration services,furniture and equipment,ministry of labour and manpower planning,the project entails provision for furniture and equipment.,7500000,0,7500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7500000,7500000
383 - manpower planning,buildings,ministry of labour and manpower planning,the project entails provision for training centres.,429347000,0,429347000,01-Jan-23,31-Dec-26,0,0,0,0,nil,1 - 10 national,83449000,165846000,93876000,86176000,86176000
383 - manpower planning,furniture and equipment,ministry of labour and manpower planning,the project entails provision for furniture and equipment.,26500000,0,26500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,26500000,26500000
391 - policy development and administration,buildings,ministry of human services and social security,the project entails provision for upgrading of facilities.,600000,0,600000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,600000,600000
391 - policy development and administration,furniture and equipment,ministry of human services and social security,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
391 - policy development and administration,safety net and gender empowerment,ministry of human services and social security,"the project entails provision for:
1. institutional strengthening and capacity building.
2. women's empowerment and support for survivors of gender based violence.
3. empowerment of persons with disabilities.",656718000,656718000,0,01-Jan-25,31-Dec-28,0,0,39629000,250000000,idb,1 - 10 national,0,0,0,0,250000000
392 - social services,buildings,ministry of human services and social security,"the project includes:
1. payment of retention.
2. provision for buildings and upgrading of facilities.",2189138000,0,2189138000,01-Jan-24,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,196808000,1150000000,642330000,642330000
392 - social services,land transport,ministry of human services and social security,the project entails provision for all terrain vehicles (atvs).,4800000,0,4800000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,4800000,4800000
392 - social services,furniture and equipment,ministry of human services and social security,the project entails provision for furniture and equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,20000000,20000000
393 - child care and protection,buildings,ministry of human services and social security,"the project entails:
1. provision for day and night care centres.
2. completion of children and family care centre.",702955000,0,702955000,01-Jan-25,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,0,105975000,356980000,356980000
393 - child care and protection,furniture and equipment,ministry of human services and social security,the project entails provision for furniture and equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,20000000,20000000
401 - policy development and administration,furniture and equipment,ministry of education,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
401 - policy development and administration,education recovery and transformation project,ministry of education,"the project entails provision for primary education infrastructure, learning and skills development.",18765000000,18765000000,0,01-Jan-22,31-Dec-28,0,18192000,109883000,3000000000,idb,1 - 10 national,0,0,0,0,3000000000
401 - policy development and administration,technical assistance - instructional leadership,ministry of education,"the project includes provision for:
1. the establishment of leadership academy.
2. development of guidelines for school improvement plans and district strategic plans.
3. capacity building.",1042500000,1042500000,0,01-Jan-24,31-Dec-28,0,0,282303000,325000000,idb,1 - 10 national,0,0,0,0,325000000
401 - policy development and administration,safety nets for vulnerable populations,ministry of education,"the project entails provision for:
1. development of educational resources for radio and television.
2. water supply improvement solutions.",3167568000,3167568000,0,01-Jan-21,31-Dec-26,457219000,702516000,437833000,570000000,idb,1 - 10 national,0,0,0,0,570000000
402 - training and development,administrative buildings,ministry of education,"the project entails:
1. completion of building.
2. provision for buildings - special education needs.",473425000,0,473425000,01-Jan-25,31-Dec-27,0,0,0,0,nil,"3, 4 & 5 national",0,0,45000000,228425000,228425000
402 - training and development,teachers' training complex,ministry of education,"the project entails provision for library, furniture and equipment.",239072000,0,239072000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,122372000,116700000,116700000
402 - training and development,buildings - national library,ministry of education,the project entails payment of retention.,48522000,0,48522000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,47056000,1466000,1466000
402 - training and development,land transport,ministry of education,the project entails provision for buses - special education needs.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
402 - training and development,furniture and equipment,ministry of education,"the project entails provision for musical instruments, furniture and equipment.",35000000,0,35000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,35000000,35000000
402 - training and development,resource development centre,ministry of education,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,10000000,10000000
403 - nursery education,nursery schools,ministry of education,"the project includes:
1. payment of retention.
2. provision for schools and educational facilities.",1657416000,0,1657416000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,1213726000,443690000,443690000
403 - nursery education,furniture and equipment,ministry of education,the project entails provision for furniture and equipment.,1000000,0,1000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,1000000,1000000
403 - nursery education,school furniture and equipment,ministry of education,the project entails provision for furniture and equipment for nursery schools.,242000000,0,242000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,242000000,242000000
404 - primary education,primary schools,ministry of education,"the project entails:
1. payment of retention.
2. provision for schools and educational facilities.",12525380000,0,12525380000,01-Jan-24,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,3139787000,5893798000,3370013000,3370013000
404 - primary education,furniture and equipment,ministry of education,the project entails provision for furniture and equipment.,2500000,0,2500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2500000,2500000
404 - primary education,school furniture and equipment,ministry of education,the project entails provision for furniture and equipment for primary schools.,436375000,0,436375000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,436375000,436375000
405 - secondary education,secondary schools,ministry of education,"the project includes:
1. payment of retention.
2. provision for secondary schools and educational facilities.",57029106000,0,57029106000,01-Jan-23,31-Dec-27,0,0,0,0,nil,1 - 10 national,6405818000,16007540000,21789301000,12726447000,12726447000
405 - secondary education,president's college,ministry of education,this project entails provision for furniture and equipment.,23800000,0,23800000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,23800000,23800000
405 - secondary education,furniture and equipment,ministry of education,the project entails provision for furniture and equipment.,2500000,0,2500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2500000,2500000
405 - secondary education,school furniture and equipment,ministry of education,"the project entails provision for tools, furniture and equipment for secondary schools.",3500000000,0,3500000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,3500000000,3500000000
405 - secondary education,human capital strengthening project,ministry of education,"the project entails provision for:
1. training of teachers.
2. procurement of textbooks for grades 7-11.
3. institutional strengthening.
4. construction and rehabilitation of schools.",9178587000,9178587000,0,01-Jan-22,31-Dec-28,616463000,439151000,1100000000,2850000000,ida,1 - 10 national,0,0,0,0,2850000000
406 - post-secondary/tertiary education,craft production and design,ministry of education,the project entails provision for furniture and equipment.,1000000,0,1000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,1000000,1000000
406 - post-secondary/tertiary education,kuru kuru co-op college,ministry of education,the project entails provision for furniture and equipment.,1000000,0,1000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,1000000,1000000
406 - post-secondary/tertiary education,adult education association,ministry of education,the project entails provision for equipment.,240000,0,240000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,240000,240000
406 - post-secondary/tertiary education,university of guyana - turkeyen,ministry of education,the project entails provision for upgrading of facilities.,125000000,0,125000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,125000000,125000000
406 - post-secondary/tertiary education,university of guyana - berbice,ministry of education,the project entails provision for equipment and upgrading of electrical system.,110500000,0,110500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,110500000,110500000
406 - post-secondary/tertiary education,technical institutes/centres,ministry of education,"the project includes:
1. completion of building and upgrading of electrical system - government technical institute, lab at guyana industrial training centre and office 
block at linden technical institute.
2. provision for upgrading of facilities, tools, furniture and equipment.",1856816000,0,1856816000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,1034083000,822733000,822733000
406 - post-secondary/tertiary education,furniture and equipment,ministry of education,the project entails provision for furniture and equipment.,7808000,0,7808000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7808000,7808000
406 - post-secondary/tertiary education,carnegie school of home economics,ministry of education,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
406 - post-secondary/tertiary education,hospitality training institute,ministry of education,"the project entails:
1. construction of a modern hospitality and tourism training institute.
2. provision for capacity building, institutional strengthening, furniture and equipment.",3610533000,2436000000,1174533000,01-Jan-21,31-Dec-27,144594000,171023000,307703000,1325000000,cdb,6 east berbice/corentyne,141730000,12803000,54607000,900000000,2225000000
441 - policy development and administration,furniture and equipment,"ministry of culture, youth and sports",the project entails provision for furniture and equipment.,34999000,0,34999000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,14999000,20000000,20000000
442 - culture,buildings,"ministry of culture, youth and sports","the project includes:
1. payment of retention.
2. completion of recording studios.
3. provision for art gallery and museum.
4. rehabilitation and upgrading of national cultural centre, heritage sites and monuments.",4730695000,2988222000,1742473000,01-Jan-25,31-Dec-28,0,0,0,750000000,china,1 - 10 national,0,0,1200000000,542473000,1292473000
442 - culture,furniture and equipment,"ministry of culture, youth and sports","the project entails provision for musical instruments, furniture and equipment.",80000000,0,80000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,80000000,80000000
443 - youth,youth,"ministry of culture, youth and sports","the project entails:
1. payment of retention.
2. provision for training centres.
3. purchase of tools, furniture and equipment.",214990000,0,214990000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,164990000,50000000,50000000
444 - sports,multi-purpose sport facilities,"ministry of culture, youth and sports",the project entails provision for multi-purpose sport facilities.,1554546000,0,1554546000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,651999000,583847000,318700000,318700000
444 - sports,national sports commission,"ministry of culture, youth and sports","the project includes:
1. payment of retention. 
2. provision for sports buildings and facilities.
3. purchase of sports gear, furniture and equipment.",10595000000,0,10595000000,01-Jan-24,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,2050000000,4400000000,3145000000,3145000000
444 - sports,grounds enhancement programme,"ministry of culture, youth and sports",the project entails provision for upgrading of sports grounds.,1250000000,0,1250000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,1250000000,1250000000
451 - policy development and administration,furniture and equipment,ministry of housing,the project entails provision for furniture and equipment.,22800000,0,22800000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,22800000,22800000
452 - housing development,infrastructural development and buildings,ministry of housing,"the project includes:
1. payment of retention.
2. provision for housing subsidy programmes.
3. provision for housing units, roads, bridges and highways.
4. provision for infrastructural works in new and existing housing schemes.",448565461000,0,448565461000,01-Jan-22,31-Dec-27,0,0,0,0,nil,1 - 10 national,76408368000,75843453000,113813640000,150000000000,150000000000
452 - housing development,housing development programme,ministry of housing,the project entails infrastructural development works in regions 3 and 6.,31275000000,31275000000,0,01-Jan-23,31-Dec-29,0,0,207936000,7500000000,saudi arabia,3 & 6 essequibo islands/west demerara  & east berbice/corentyne,0,0,0,0,7500000000
471 - policy development and administration,land and water transport,ministry of health,the project entails provision for equipment.,45000000,0,45000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,45000000,45000000
471 - policy development and administration,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,75000000,0,75000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,75000000,75000000
472 - disease control - communicable diseases,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,5000000,5000000
472 - disease control - communicable diseases,equipment - medical,ministry of health,the project entails provision for equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,20000000,20000000
472 - disease control - communicable diseases,hiv/tb/malaria programmes,ministry of health,"the project entails provision for hiv/aids, tuberculosis and malaria interventions.",3297302000,3297302000,0,01-Jan-15,31-Dec-27,306803000,300090000,155000000,170000000,global fund,1 - 10 national,0,0,0,0,170000000
473 - family and primary health care services,ministry of health - buildings,ministry of health,the project entails provision for dental clinic.,7550000,0,7550000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7550000,7550000
473 - family and primary health care services,land and water transport,ministry of health,the project entails provision for boat and outboard engine.,10200000,0,10200000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10200000,10200000
473 - family and primary health care services,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,3000000,0,3000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,3000000,3000000
473 - family and primary health care services,equipment - medical,ministry of health,the project entails provision for equipment.,65000000,0,65000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,65000000,65000000
474 - regional and clinical services,ministry of health - buildings,ministry of health,"the project includes:
1. payment of retention.
2. provision for health facilities and living quarters.",29419577000,0,29419577000,01-Jan-24,31-Dec-28,0,0,0,0,nil,1 - 10 national,0,15241698000,6481861000,6405667000,6405667000
474 - regional and clinical services,georgetown public hospital corporation,ministry of health,"the project entails:
1. payment of retention.
2. provision for infrastructural upgrades, health facilities, furniture, medical and non-medical equipment.",5455000000,0,5455000000,01-Jan-24,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,975000000,2980000000,1500000000,1500000000
474 - regional and clinical services,land and water transport,ministry of health,the project includes provision for ambulance and buses.,71000000,0,71000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,71000000,71000000
474 - regional and clinical services,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,150000000,0,150000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,150000000,150000000
474 - regional and clinical services,equipment - medical,ministry of health,the project entails provision for equipment.,1150000000,0,1150000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,1150000000,1150000000
474 - regional and clinical services,modernisation of primary health care system,ministry of health,"the project entails:
1. construction of bartica regional hospital.
2. provision for ambulances and medical equipment.",11584176000,3640000000,2375818000,01-Jan-16,31-Dec-28,92220000,0,0,3475695000,india,1 - 10 national,4825000,1795000,1919198000,100000000,6075695000
474 - regional and clinical services,modernisation of primary health care system,ministry of health,"the project entails:
1. construction of bartica regional hospital.
2. provision for ambulances and medical equipment.",0,5568358000,0,01-Jan-16,31-Dec-28,0,0,0,2500000000,other,1 - 10 national,0,0,0,0,0
474 - regional and clinical services,health sector improvement programme,ministry of health,"the project entails provision for:
1. design, construction and equipping of paediatric and maternal hospital.
2. design and construction of regional hospitals - bath, de kinderen, diamond, enmore, lima and no. 75 village.
3. design, construction and equipping of new hospital campus at new amsterdam.
4. reconstruction and expansion of hinterland hospitals - kato, kamarang, lethem and moruca.
5. capacity building and institutional strengthening.
6. strengthening digital health systems.",151170156000,33280000000,19911090000,01-Jan-22,31-Dec-30,17800000,3465802000,3010920000,7700000000,idb,1 - 10 national,16262447000,1338407000,861227000,825000000,23575000000
474 - regional and clinical services,health sector improvement programme,ministry of health,"the project entails provision for:
1. design, construction and equipping of paediatric and maternal hospital.
2. design and construction of regional hospitals - bath, de kinderen, diamond, enmore, lima and no. 75 village.
3. design, construction and equipping of new hospital campus at new amsterdam.
4. reconstruction and expansion of hinterland hospitals - kato, kamarang, lethem and moruca.
5. capacity building and institutional strengthening.
6. strengthening digital health systems.",0,35501000000,0,01-Jan-22,31-Dec-30,4868846000,4494072000,8782991000,8000000000,uk,1 - 10 national,0,0,0,0,0
474 - regional and clinical services,health sector improvement programme,ministry of health,"the project entails provision for:
1. design, construction and equipping of paediatric and maternal hospital.
2. design and construction of regional hospitals - bath, de kinderen, diamond, enmore, lima and no. 75 village.
3. design, construction and equipping of new hospital campus at new amsterdam.
4. reconstruction and expansion of hinterland hospitals - kato, kamarang, lethem and moruca.
5. capacity building and institutional strengthening.
6. strengthening digital health systems.",0,31514763000,0,01-Jan-22,31-Dec-30,8961535000,16815268000,3821607000,1100000000,other,1 - 10 national,0,0,0,0,0
474 - regional and clinical services,health sector improvement programme,ministry of health,"the project entails provision for:
1. design, construction and equipping of paediatric and maternal hospital.
2. design and construction of regional hospitals - bath, de kinderen, diamond, enmore, lima and no. 75 village.
3. design, construction and equipping of new hospital campus at new amsterdam.
4. reconstruction and expansion of hinterland hospitals - kato, kamarang, lethem and moruca.
5. capacity building and institutional strengthening.
6. strengthening digital health systems.",0,30963303000,0,01-Jan-22,31-Dec-30,0,5147552000,0,5950000000,sweden,1 - 10 national,0,0,0,0,0
474 - regional and clinical services,one health programme,ministry of health,"the project entails provision for:
1. integrated multi-sectoral health surveillance systems.
2. laboratory infrastructure and diagnostic capacity.
3. laboratory equipment.
4. capacity building.",4587000000,4587000000,0,01-Jan-25,31-Dec-31,0,0,3430000,1500000000,ida,1 - 10 national,0,0,0,0,1500000000
