agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,number of farms certified to produce wholesome food and agricultural commodities for export,250,275,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,volume of non-traditional agriculture exports (mt),6045,6213,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,value of non-traditional agriculture exports (g$),1630000000,1710000000,agency 21,ministry of agriculture,outcome,economic development,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,share of cropland under sustainable management,,,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,length (km) of farm to market access roads constructed,93,120,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,length (km) of farm to market access roads maintained,235,462,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,acres of farmland affected by flooding,,,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,number of farmers affected by flooding,,,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,value of livestock lost due to flooding,,,agency 21,ministry of agriculture,outcome,economic development,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,212 - agriculture development and support services,number of livestock lost due to flooding,,,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,production (kg) of aquaculture and inland fisheries,2722000,3250000,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,production (mt) of marine fisheries,47232,48176,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,number of fingerlings sold,47868,71695,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,number of farmers trained in aquaculture practices,682,780,agency 21,ministry of agriculture,output,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,volume of fisheries export (mt),8717,9063,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,value of fisheries export (g$),7100000000,7800000000,agency 21,ministry of agriculture,outcome,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,213 - fisheries,number of licences processed by the fisheries department ,6698,6703,agency 21,ministry of agriculture,output,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,"number of meteorological stations operational (manual rainfall stations, synoptic and climatology stations)",179,195,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,number of publications (farmer's monthly weather bulletin and drought bulletin),24,24,agency 21,ministry of agriculture,output,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,number of daily weather briefs disseminated,365,365,agency 21,ministry of agriculture,output,agriculture,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,number of automated hydrometeorological stations operational (meteorological and hydrological),41,72,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,number of hydrological stations operational,18,30,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
AGENCY 21 - MINISTRY OF AGRICULTURE,214 - hydrometeorological services,number of wells inspected/registered,12,15,agency 21,ministry of agriculture,output,infrastructure_transport,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,"number of policies developed or updated for tourism, industry, or commerce",1,1,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,proportion of policies actively monitored,100%,100%,agency 23,"ministry of tourism, industry and commerce",output,efficiency,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,number of staff trained in key technical areas,67,100,agency 23,"ministry of tourism, industry and commerce",output,administration,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,"number of new legislations tabled in the national assembly related to tourism, industry, or commerce",0,1,agency 23,"ministry of tourism, industry and commerce",output,governance,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,"number of amended legislations related to tourism, industry or commerce",0,1,agency 23,"ministry of tourism, industry and commerce",output,governance,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,percentage change in the nominal value of domestic credit to the private sector,16%,15%,agency 23,"ministry of tourism, industry and commerce",outcome,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",231 - policy development and administration,percentage of budgetary allocation expended,93.4%,95%,agency 23,"ministry of tourism, industry and commerce",output,efficiency,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",percentage of businesses in the industrial estates engaged in value-added production,70%,75%,agency 23,"ministry of tourism, industry and commerce",outcome,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",percentage of tax compliant businesses on the industrial estates,18%,85%,agency 23,"ministry of tourism, industry and commerce",outcome,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",percentage of import/export licenses issued within 24 hours,96%,98%,agency 23,"ministry of tourism, industry and commerce",output,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",percentage of total nominal value of government procurement going to small businesses,,10%,agency 23,"ministry of tourism, industry and commerce",outcome,administration,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",number of small businesses that received loans and grants from the small business bureau,74,,agency 23,"ministry of tourism, industry and commerce",output,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",number of small businesses that received targeted financial support,74,1615,agency 23,"ministry of tourism, industry and commerce",output,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",number of beneficiaries of community projects executed by the small business bureau,248,270,agency 23,"ministry of tourism, industry and commerce",output,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE","232 - business development, support and promotion",number of standards developed,34,33,agency 23,"ministry of tourism, industry and commerce",output,efficiency,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,number of businesses inspected for compliance with the consumer affairs act,1331,1350,agency 23,"ministry of tourism, industry and commerce",output,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,percentage of businesses inspected by the ccac that are in compliance with the consumer affairs act,30%,40%,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,number of defiant businesses assisted by the ccac to attain compliance with the consumer affairs act,378,380,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,number of complaints received,506,,agency 23,"ministry of tourism, industry and commerce",output,social protection and welfare,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,percentage of consumer cases/complaints resolved,85%,85%,agency 23,"ministry of tourism, industry and commerce",outcome,social protection and welfare,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,number of followers on consumer affairs department facebook page,781,600,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",233 - consumer protection,number of target participants who attended consumer awareness sessions,4805,3500,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of visitors' arrival,453489,553257,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of persons trained in areas of tourism,3033,2800,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,value of tourism investments (gyd),$15.97B,$15B,agency 23,"ministry of tourism, industry and commerce",outcome,economic development,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of persons employed in the tourism sector,27000,30000,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,airlifts measured by new points of origin,1,2,agency 23,"ministry of tourism, industry and commerce",output,infrastructure_transport,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of tourism businesses licensed,203,300,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,percentage change in the room occupancy rate across the hospitality sector,50%,55%,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of new airlines serving guyana,2,2,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of tourism projects developed,5,6,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of tourism products developed,15,6,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of available rooms in accommodation sector,4658,5692,agency 23,"ministry of tourism, industry and commerce",outcome,tourism_culture,ministry
"AGENCY 23 - MINISTRY OF TOURISM, INDUSTRY AND COMMERCE",234 - tourism development and promotion,number of events hosted by the arthur chung conference centre,105,130,agency 23,"ministry of tourism, industry and commerce",output,tourism_culture,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,number of policy and legislative documents drafted,1,2,agency 26,ministry of natural resources,output,governance,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,percentage of cross-cutting issues resolved by committees/working groups,75%,90%,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,percentage of work programme and annual work programme completed,100%,100%,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,number of compliance and enforcement activities executed,8069,6150,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,percentage of timely submission of performance and financial data for reporting and planning,100%,100%,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,number of technical assistance and training initiatives executed,379,250,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,261 - policy development and administration,number of jobs created in the natural resources sector,1450,1900,agency 26,ministry of natural resources,output,economic development,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,number of natural resources policy drafted,0,4,agency 26,ministry of natural resources,output,governance,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,number of international standards and mechanisms adopted,5,9,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,number of investigations in the mining and forestry sector conducted,577,700,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,number of sanctions related to natural resource conflicts issued,775,450,agency 26,ministry of natural resources,output,governance,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,number of pilot studies completed,12,14,agency 26,ministry of natural resources,output,infrastructure_transport,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,percentage of resource-based maps completed,71%,90%,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,262 - natural resource management,deforestation rate,0.05%,0.05%,agency 26,ministry of natural resources,outcome,environment_climate_risk,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of local skills developed as per the industry,808,,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of local content certificate of registration issued,1296,900,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,"number of petroleum related regulations revised, amended, and implemented",1,3,agency 26,ministry of natural resources,output,governance,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of new licenses issued for exploration and production activities,3,1,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of field development plans approved,1,1,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of new psas issued,2,0,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,percentage of locally sourced business support for the supply value-chain,61%,,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of supply vessels supporting offshore activities,33,36,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of current drilling activities,5,7,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of production facilities offshore,4,3,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of work programmes approved,4,,agency 26,ministry of natural resources,output,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of scholarship opportunities provided and accessed,74,80,agency 26,ministry of natural resources,outcome,education,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of local content plans approved,49,52,agency 26,ministry of natural resources,output,governance,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of total lifts,260,287,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 26 - MINISTRY OF NATURAL RESOURCES,264 - petroleum management,number of barrels of oil produced per period,261M,287M,agency 26,ministry of natural resources,outcome,natural resources,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,311 - policy development and administration,number of policies and regulations updated for the infrastructure sector,2,3,agency 31,ministry of public works,output,governance,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,311 - policy development and administration,number of staff trained across the ministry,146,200,agency 31,ministry of public works,output,administration,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,311 - policy development and administration,percentage of budgetary allocation expended,90%,100%,agency 31,ministry of public works,output,efficiency,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,total length of road rehabilitated,,,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,total length of road maintained (km),381,500,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,length of road upgraded,,,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,total length of road constructed/ rehabilitated/ maintained/ upgraded (km),475,500,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,number of roads constructed/ rehabilitated/ maintained/ upgraded,1576,750,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,length of hinterland roads newly constructed/ rehabilitated/ maintained/ upgraded,620,600,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,number of bridges rehabilitated,10,15,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,number of bridges constructed,35,105,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,length of sea defense structures maintained (metres),107792,100000,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,length of sea defense structures rehabilitated (metres),10595,12000,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,percentage of highway lights operational,88,100,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,percentage of traffic lights operational,85,100,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,312 - public works,number of government buildings rehabilitated,30,35,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,percentage of fleet that is operational.,100,100,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,number of stellings that meet safety and operational standards.,14,14,agency 31,ministry of public works,output,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,transaction time at stellings (minutes),2,1,agency 31,ministry of public works,outcome,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,number of passengers using ferry vessels,449817,458813,agency 31,ministry of public works,outcome,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,volume of freight transported on ferry vessels.,211883,216121,agency 31,ministry of public works,outcome,infrastructure_transport,ministry
AGENCY 31 - MINISTRY OF PUBLIC WORKS,313 - transport,total harbour revenue,$3.056M,$3.514M,agency 31,ministry of public works,outcome,economic development,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,341 - policy development and administration,number of staff trained,15,45,agency 34,ministry of public utilities and aviation,output,administration,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,341 - policy development and administration,percentage of budgetary allocation expended,97%,100%,agency 34,ministry of public utilities and aviation,output,efficiency,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,342 - electricity services,proportion of population with reliable access to electricity,99%,99%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,342 - electricity services,proportion of hinterland population with reliable access to electricity,93%,93%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,342 - electricity services,proportion of hinterland population with access to solar pv,99%,99%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,342 - electricity services,installed capacity of the hinterland electrification programme (mw),2.75,0.48,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,342 - electricity services,installed capacity of grid-connected renewable energy systems (mw),11.75,22.31,agency 34,ministry of public utilities and aviation,output,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,percent of non-revenue water,62.50%,60%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,value of arrears owed by customers (g$),G$2.93B,,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of metered customers,75%,90%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of population receiving water supply via a water treatment plant,98.6%,99%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of population with access to reliable supply of potable water,77%,92%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of hinterland population with access to reliable supply of potable water,94%,96%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of iron tests carried in the distribution that confirm to who guidelines,52%,80%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of total coli form tests carried in the distribution that confirm to who guidelines,98%,100%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,proportion of coli tests carried out in the distribution that confirm to who guidelines,99%,100%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,"proportion of turbidity, ph, apparent colour carried out in the distribution that confirm to who guidelines",82%,87%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,percentage of surface water used to provide potable water to the population,10%,12%,agency 34,ministry of public utilities and aviation,output,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,343 - water services,"percentage of earnings before interest, tax, depreciation & amortisation (ebitda*)",8%,9%,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,number of government aerodromes that receive gcaa compliance certification annually,26,66,agency 34,ministry of public utilities and aviation,output,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,number of new aerodromes developed by the government,5,40,agency 34,ministry of public utilities and aviation,output,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,percentage of operators in compliance with air transport regulations,100%,100%,agency 34,ministry of public utilities and aviation,output,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,volume of international air traffic,32630,33945,agency 34,ministry of public utilities and aviation,outcome,tourism_culture,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,annual passenger movements for airlines operating in guyana,1045500,1170000,agency 34,ministry of public utilities and aviation,outcome,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,annual poundage of cargo and mail processed by airlines and freighters operating in guyana,33629290,36000001,agency 34,ministry of public utilities and aviation,outcome,utilities,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,total flight passenger capacity of international airlines on guyana route,1764112,1940532,agency 34,ministry of public utilities and aviation,outcome,tourism_culture,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,344 - aviation,number of airlines flying the guyana route,18,20,agency 34,ministry of public utilities and aviation,output,tourism_culture,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,345 - maritime administration,charted depth (meters chart datum/@ low tide),7,7,agency 34,ministry of public utilities and aviation,output,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,345 - maritime administration,number of vessels transiting the channel,4779,5352,agency 34,ministry of public utilities and aviation,outcome,infrastructure_transport,ministry
AGENCY 34 - MINISTRY OF PUBLIC UTILITIES AND AVIATION,345 - maritime administration,number of deeper draft vessels transiting the channel,2248,2585,agency 34,ministry of public utilities and aviation,outcome,infrastructure_transport,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,381 - policy development and administration,number of labour market information bulletins published annually,0,1,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,381 - policy development and administration,number of occupational wages and hours of work surveys published annually,0,2,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,381 - policy development and administration,percentage of budgetary allocation expended.,97%,100%,agency 38,ministry of labour and manpower planning,output,efficiency,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of complaints closed per year,926,1000,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of collective labour agreements,16,20,agency 38,ministry of labour and manpower planning,outcome,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of applications sent by unions / conciliation,11,15,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of labour inspections conducted by labour officers,2832,2900,agency 38,ministry of labour and manpower planning,output,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of child labour sensitisation activities completed,88,100,agency 38,ministry of labour and manpower planning,outcome,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of non-fatal occupational injuries by sex and migrant status,300,270,agency 38,ministry of labour and manpower planning,outcome,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of fatal occupational injuries by sex and migrant status,18,8,agency 38,ministry of labour and manpower planning,outcome,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of workplace inspections,1890,2000,agency 38,ministry of labour and manpower planning,output,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of reported instances of osh incidents,21,18,agency 38,ministry of labour and manpower planning,output,social protection and welfare,ministry
